Level,Sentence,Option A,Option B,Option C,Option D,Correct
A2.3,הציור הזה _______ על ידי ואן-גוך. ואן-גוך הוא צייר הולנדי ________.,"צוייר, מפורסם","צייר, פרסום","צויירה, יודע","לצייר, מפורסם","צוייר, מפורסם"
A2.3,"אם ______ את האוטו, אני אשב לידך.",תיקח,לקח,לוקח,ייקח,תיקח
A2.3,ההורים שלי ______ לחדר שלי אתמול.,נכנסו,ייכנסו,נכנסים,נכנס,נכנסו
A2.3,אני מקווה שהיא ______ פה.,תישאר,להישאר,תנשאר,תישארי,תישאר
A2.3,זה הספר הכי ישן ש______ אי פעם.,נכתב,כתוב,כתב,כתבה,נכתב
A2.3,התינוק אוהב להסתכל על ______.,עצמו,אותו,עצמך,היא,עצמו
A2.3,"אתמול לא יכולתי לבוא, אבל מחר אני ______ לבוא.",אוכל,יכולתי,יכול,אכול,אוכל
B1.1,אני רוצה שהוא ______ את השיר הזה.,ישמע,שמע,שומע,לשמוע,ישמע
B1.1,הם ______ לדירה בקומה השנייה.,יעברו,עברו,עוברים,לעבור,יעברו
B1.1,"אמא שלו רוצה שיהיה לו חתול, והיא לא רוצה שהוא ______ קר.",יהיה,היה,להיות,נהיה,יהיה
B1.1,אתה ______ מתנה ממנו אחרי שתחזור הביתה.,תקבל,מקבל,קיבלת,לקבל,תקבל
B1.1,אני רוצה שאתה ______ לבד.,תלך,הולך,הלך,ללכת,תלך
B1.1,"אחותי מדברת כמוני, אבל אני לא מדברת ______.",כמותה,כמוה,כמו,איתה,כמוה
B1.1,אל ______ את זה! אל תיתן לו את הכסף שלך!,תעשה,עושה,עשית,לעשות,תעשה
B1.1,הוא ______ לי לעשות את זה!,גרם,גורם,לגרום,נגרם,גרם
B1.1,"הבנק ______ בקרוב, והמכתב ______ בשבוע הבא.","ייסגר, יישלח","נסגר, נשלח","יסגור, ישלח","סוגר, שולח","ייסגר, יישלח"
B1.1,"שדה התעופה החדש כל כך ______, ובפנים ממש ______.","עמוס, רועש","רועש, עמוס","גדול, שקט","פנימי, רועש","עמוס, רועש"
B1.2,"אם היה לי יותר כסף, אני ______ בית.",הייתי קונה,קניתי,אקנה,קונה,הייתי קונה
B1.2,"כשהייתי ילד, אני תמיד ______ עם המשפחה שלי לפארק.",הלכתי,אלך,הולך,הולכים,הלכתי
B1.2,תקשיב למה שאני ______!,אומר,אמור,אמירה,אמר,אומר
B1.2,אתה אמור ללכת לאן שאני ______.,הולך,אלך,הלך,הולכים,הולך
B1.2,"ניסיתי לדבר, אבל הם ______ אותי כל הזמן.",הפסיקו,מפסיקים,הפריעו,מפריעים,הפסיקו
B1.2,הם כיסו את האוטו כי אולי ______ גשם.,יֵרד,ירד,יורד,לרדת,יֵרד
B1.2,"לדעת אמא שלי, לטיקטוק יש ______ רעה על אנשים.",השפעה,השפעות,משפיעה,הושפעה,השפעה
B1.2,אני לא ______ לחתונה.,הוזמנתי,הזמנתי,מזמין,להזמין,הוזמנתי
B1.2,המרק ______ כל הלילה.,בושל,בישל,מבושל,לבשל,בושל
B1.3,אמא שלי נולדה באותו בית שבו אני ______.,נולדתי,נולדה,נולד,להיוולד,נולדתי
B1.3,הכתבה שאנחנו ______ עליה פורסמה בעיתון.,מדברים,מדבר,דיברנו,לדבר,מדברים
B1.3,המורה שלי רצתה שאני ______ בעברית.,אשתפר,השתפרתי,להשתפר,ישתפר,אשתפר
B1.3,אני רוצה שהוא ______ בשש בבוקר.,יתעורר,התעורר,להתעורר,מתעורר,יתעורר
B1.3,זה פשוט ______ להוציא את הכלב לטיול במזג אוויר כזה!,בלתי נסבל,לא סבל,לא נסבל,קשה מאוד,בלתי נסבל
B1.3,היא הראתה לי איך ______ תמונות לטקסט.,להוסיף,הוספתי,מוסיפים,נוסיף,להוסיף
B1.3,העברתי בטעות את הכסף ______.,לחשבון שלה,לחשבון שלו,לחשבון שלך,לחשבון שלהם,לחשבון שלה
B1.3,הקבוצה הזו הייתה צריכה להתמודד עם הרבה ______.,אפליה,אפליות,מופלה,להפלות,אפליה
B2.1,הוא לא הצטרף להפגנה ______ פחד לאבד את העבודה שלו.,בגלל,מכיוון ש,למרות ש,לכן,מכיוון ש
B2.1,"______ שכולם התנגדו לדעתה, היא התעקשה לעמוד על שלה.",בגלל,למרות ש,על אף,אם כי,למרות ש
B2.1,הפרויקט נכשל. ______ למדנו הרבה מהתהליך.,עם זאת,אבל,אף על פי כן,בכל זאת,עם זאת
B2.1,הם ______ כאילו שום דבר לא קרה.,מתנהגים,התנהגו,התנהגות,יתנהגו,התנהגו
B2.1,היא אמרה שהיא כבר ______ את הדוח.,סיימה,מסיימת,תסיים,לסיים,סיימה
B2.1,"הבית, ______ בשנת 1920, הוא כיום מוזיאון.",נבנה,שבנה,שנבנה,בנוי,שנבנה
B2.1,______ שאנשים מאבדים את הסבלנות בזמן האחרון.,נראה לי,אני מרגיש,אני יודע,זה נראה,נראה לי
B2.1,ההחלטה התקבלה ______ דיון אמיתי.,בלי,לאחר,בעקבות,אחרי,בלי
B2.1,______ אם תוכל לשלוח לי את הקובץ עוד היום.,אני שמח,בבקשה,אשמח מאוד,הייתי שמח,אשמח מאוד
B2.1,החוק ______ על ידי הכנסת בחודש הבא.,יאושר,מאושר,יאשר,יאשרו,יאושר
B2.1,הסטודנט ______ כותב עבודת גמר על פוליטיקה ישראלית.,שאתה דיברת איתו,אשר דיברת איתו,שדיברת איתו,דיברת איתו,שדיברת איתו
B2.2,"לו רק ______ על כך מוקדם יותר, הכול היה נראה אחרת.",ידעתי,הייתי יודע,אדע,יודע,הייתי יודע
B2.2,"הוא לא הגיע בזמן, אבל זה ______ שהוא לא רציני.",לא אומר,לא אומרת,לא נאמר,לא אומרים,לא אומר
B2.2,"מי שלא ______ את ההוראות במדויק, לא יצליח בבדיקה.",יקרא,קורא,קרא,לקרוא,יקרא
B2.2,"כל עוד אתה ______ על זה, שום דבר לא ישתנה.",מתלונן,התלוננת,תתלונן,להתלונן,מתלונן
B2.2,"הסטודנט ______ להיחשב כעצלן, כי לא הגיש את העבודה בזמן.",עלול,מסוגל,עשוי,נאלץ,עלול
B2.2,היה נדמה כאילו אף אחד לא ______ באמת את מה שקרה.,הבין,מבין,הבין את זה,יבין,הבין
B2.2,מסתבר ש______ היה טעות גדולה.,להאמין לו,האמנו לו,האמונה לו,להאמין,להאמין לו
B2.2,"הוא הבטיח להגיע, ______ בסוף נשאר בבית.",אף על פי כן,אבל,למרות,עם זאת,אף על פי כן
B2.2,"אם הייתם ______ קצת יותר מוקדם, לא הייתם נתקעים בפקק.",יוצאים,יצאתם,לצאת,תצאו,יוצאים
B2.2,נאמר כי התכנית החדשה ______ בשנה הבאה.,תיושם,תתבצע,תבוצע,תתממש,תיושם
